role,dataset,category,language,original_file,academic_file,title
supplementary,tess,mapas_xai_individuales,espanol,tess_positivo_correcto_alta_confianza_idx693_xai_maps.png,espanol/material_suplementario/tess_mapa_xai_verdadero_positivo_alta_confianza_idx693.png,TESS - Mapa XAI de verdadero positivo de alta confianza (idx=693)
supplementary,tess,mapas_xai_individuales,english,tess_positivo_correcto_alta_confianza_idx693_xai_maps.png,english/supplementary_figures/tess_xai_explanation_map_high_confidence_true_positive_idx693.png,TESS - XAI explanation map for high-confidence true positive (idx=693)
supplementary,tess,calibracion,espanol,tess_reliability_calibration.png,espanol/material_suplementario/tess_diagrama_confiabilidad_calibracion_probabilistica.png,TESS - Diagrama de confiabilidad y calibracion probabilistica
supplementary,tess,calibracion,english,tess_reliability_calibration.png,english/supplementary_figures/tess_probability_calibration_reliability_diagram.png,TESS - Probability calibration reliability diagram
supplementary,tess,incertidumbre,espanol,tess_uncertainty_decomposition_by_outcome.png,espanol/material_suplementario/tess_descomposicion_incertidumbre_por_resultado.png,TESS - Descomposicion de incertidumbre por resultado
supplementary,tess,incertidumbre,english,tess_uncertainty_decomposition_by_outcome.png,english/supplementary_figures/tess_uncertainty_decomposition_by_prediction_outcome.png,TESS - Uncertainty decomposition by prediction outcome
supplementary,tess,deteccion_errores,espanol,tess_xai_error_detection_auc.png,espanol/material_suplementario/tess_auc_deteccion_errores_metricas_xai.png,TESS - AUC de deteccion de errores usando metricas XAI
supplementary,tess,deteccion_errores,english,tess_xai_error_detection_auc.png,english/supplementary_figures/tess_error_detection_auc_from_xai_metrics.png,TESS - Error-detection AUC from XAI metrics
supplementary,tess,centralidad_xai,espanol,tess_xai_method_centrality.png,espanol/material_suplementario/tess_centralidad_importancia_por_metodo_xai.png,TESS - Centralidad de importancia por metodo XAI
supplementary,tess,centralidad_xai,english,tess_xai_method_centrality.png,english/supplementary_figures/tess_central_importance_ratio_by_xai_method.png,TESS - Central importance ratio by XAI method
