dataset,case,index,method,target_label,deleted_fraction,base_probability,base_target_confidence,probability_after_deletion,target_confidence_after_deletion,confidence_drop
kepler,negativo_correcto_alta_confianza,1365,saliency,0,0.5,2.1046115298960658e-19,1.0,0.16157890856266022,0.8384210914373398,0.16157890856266022
kepler,negativo_correcto_alta_confianza,1365,smoothgrad,0,0.0,2.1046115298960658e-19,1.0,2.1046115298960658e-19,1.0,0.0
kepler,negativo_correcto_alta_confianza,1365,smoothgrad,0,0.05,2.1046115298960658e-19,1.0,1.3859306591257337e-08,0.9999999861406934,1.3859306591257337e-08
kepler,negativo_correcto_alta_confianza,1365,smoothgrad,0,0.1,2.1046115298960658e-19,1.0,3.679630390251987e-05,0.9999632036960975,3.679630390251987e-05
kepler,negativo_correcto_alta_confianza,1365,smoothgrad,0,0.2,2.1046115298960658e-19,1.0,0.0006256205961108208,0.9993743794038892,0.0006256205961108208
kepler,negativo_correcto_alta_confianza,1365,smoothgrad,0,0.3,2.1046115298960658e-19,1.0,0.026122717186808586,0.9738772828131914,0.026122717186808586
kepler,negativo_correcto_alta_confianza,1365,smoothgrad,0,0.5,2.1046115298960658e-19,1.0,0.0008135441457852721,0.9991864558542147,0.0008135441457852721
kepler,negativo_correcto_alta_confianza,1365,integrated_gradients,0,0.0,2.1046115298960658e-19,1.0,2.1046115298960658e-19,1.0,0.0
kepler,negativo_correcto_alta_confianza,1365,integrated_gradients,0,0.05,2.1046115298960658e-19,1.0,0.10550103336572647,0.8944989666342735,0.10550103336572647
kepler,negativo_correcto_alta_confianza,1365,integrated_gradients,0,0.1,2.1046115298960658e-19,1.0,0.09416025131940842,0.9058397486805916,0.09416025131940842
kepler,negativo_correcto_alta_confianza,1365,integrated_gradients,0,0.2,2.1046115298960658e-19,1.0,0.11366990208625793,0.8863300979137421,0.11366990208625793
kepler,negativo_correcto_alta_confianza,1365,integrated_gradients,0,0.3,2.1046115298960658e-19,1.0,0.08782742917537689,0.9121725708246231,0.08782742917537689
kepler,negativo_correcto_alta_confianza,1365,integrated_gradients,0,0.5,2.1046115298960658e-19,1.0,0.020899035036563873,0.9791009649634361,0.020899035036563873
kepler,negativo_correcto_alta_confianza,1365,occlusion,0,0.0,2.1046115298960658e-19,1.0,2.1046115298960658e-19,1.0,0.0
kepler,negativo_correcto_alta_confianza,1365,occlusion,0,0.05,2.1046115298960658e-19,1.0,3.1529066967194383e-19,1.0,0.0
kepler,negativo_correcto_alta_confianza,1365,occlusion,0,0.1,2.1046115298960658e-19,1.0,5.852061917459265e-19,1.0,0.0
kepler,negativo_correcto_alta_confianza,1365,occlusion,0,0.2,2.1046115298960658e-19,1.0,1.6265506982279733e-15,0.9999999999999983,1.6653345369377348e-15
kepler,negativo_correcto_alta_confianza,1365,occlusion,0,0.3,2.1046115298960658e-19,1.0,1.3036721360640616e-14,0.999999999999987,1.2989609388114332e-14
kepler,negativo_correcto_alta_confianza,1365,occlusion,0,0.5,2.1046115298960658e-19,1.0,3.0159742433512327e-13,0.9999999999996984,3.0164759579065503e-13
kepler,negativo_correcto_alta_confianza,1365,gradcam,0,0.0,2.1046115298960658e-19,1.0,2.1046115298960658e-19,1.0,0.0
kepler,negativo_correcto_alta_confianza,1365,gradcam,0,0.05,2.1046115298960658e-19,1.0,3.220397242604221e-14,0.9999999999999678,3.219646771412954e-14
kepler,negativo_correcto_alta_confianza,1365,gradcam,0,0.1,2.1046115298960658e-19,1.0,1.1955605776214906e-12,0.9999999999988044,1.195599175218831e-12
kepler,negativo_correcto_alta_confianza,1365,gradcam,0,0.2,2.1046115298960658e-19,1.0,2.206253313374873e-08,0.9999999779374669,2.206253313374873e-08
kepler,negativo_correcto_alta_confianza,1365,gradcam,0,0.3,2.1046115298960658e-19,1.0,1.467485708417371e-05,0.9999853251429158,1.467485708417371e-05
kepler,negativo_correcto_alta_confianza,1365,gradcam,0,0.5,2.1046115298960658e-19,1.0,0.00015109263767953962,0.9998489073623205,0.00015109263767953962
kepler,negativo_correcto_alta_confianza,1365,gradcam_multiscale,0,0.0,2.1046115298960658e-19,1.0,2.1046115298960658e-19,1.0,0.0
kepler,negativo_correcto_alta_confianza,1365,gradcam_multiscale,0,0.05,2.1046115298960658e-19,1.0,8.389293361688033e-05,0.9999161070663831,8.389293361688033e-05
