dataset,case,index,method,target_label,faithfulness_auc_norm,drop_at_05,drop_at_10,drop_at_20,max_drop,final_drop,negative_drop_fraction,monotonicity_fraction
kepler,mayor_incertidumbre_mc_dropout,1053,occlusion,1,0.5730516721068852,0.6022808371344581,0.6033738447586074,0.6028734427527525,0.6035029626218602,0.6035029626218602,0.0,0.8
kepler,mayor_incertidumbre_mc_dropout,1053,saliency,1,0.5675854678789619,0.5875058751553297,0.6022092018974945,0.6020314282504842,0.6022092018974945,0.5942538073286414,0.0,0.4
kepler,mayor_incertidumbre_mc_dropout,1053,smoothgrad,1,0.5632799867424183,0.6025741673074663,0.6022527667228132,0.5992457428947091,0.6025741673074663,0.5737768989056349,0.0,0.2
kepler,negativo_correcto_alta_confianza,1365,consensus,0,0.012676196325628528,0.1137748658657074,0.0080321989953517,0.0001374397979816,0.1137748658657074,7.894531154306605e-05,0.0,0.4
kepler,negativo_correcto_alta_confianza,1365,gradcam,0,3.4625397350338384e-05,3.219646771412954e-14,1.195599175218831e-12,2.2062533133748733e-08,0.0001510926376795,0.0001510926376795,0.0,1.0
kepler,negativo_correcto_alta_confianza,1365,gradcam_multiscale,0,0.001412704867107063,8.389293361688033e-05,0.0016097357729449,0.0021542040631175,0.0022984519600868,0.0002123940357705,0.0,0.8
kepler,negativo_correcto_alta_confianza,1365,integrated_gradients,0,0.07793615721166128,0.1055010333657264,0.0941602513194084,0.1136699020862579,0.1136699020862579,0.0208990350365638,0.0,0.4
kepler,negativo_correcto_alta_confianza,1365,occlusion,0,6.455946888195287e-14,0.0,0.0,1.6653345369377348e-15,3.016475957906551e-13,3.016475957906551e-13,0.0,1.0
kepler,negativo_correcto_alta_confianza,1365,saliency,0,0.03245304456245618,8.326672684688674e-15,1.4432899320127035e-14,2.956499656647793e-06,0.1615789085626602,0.1615789085626602,0.0,1.0
kepler,negativo_correcto_alta_confianza,1365,smoothgrad,0,0.008130168935937786,1.3859306591257337e-08,3.679630390251987e-05,0.0006256205961108,0.0261227171868085,0.0008135441457852,0.0,0.8
kepler,positivo_correcto_alta_confianza,1132,consensus,1,0.8585294511169195,0.4795538783073425,0.8891909196972847,0.9468068666756152,0.984920254908502,0.984920254908502,0.0,1.0
